epoch,learning_rate,train_loss,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,train_seconds,val_seconds,epoch_seconds,is_best
1,0.001,0.45674972906715144,0.8350539025442001,0.8333489764709554,0.8343352290677706,0.8337888361281814,0.37009714032219104,0.8640333333333333,0.8769322616584919,0.8640333333333334,0.8626278236852162,135.44178613799886,16.06915485799982,151.5109591079963,False
2,0.001,0.36015721352938795,0.868745148771022,0.8674568360825157,0.8681188679080281,0.8677565103050261,0.2877650538713749,0.8946,0.8966573598388438,0.8946,0.8945155895738734,126.85059263899893,15.27791679299844,142.12852694100002,False
3,0.001,0.33194265044059357,0.8790038809831824,0.8778157691460432,0.8783700462664481,0.8780694362732735,0.2799176656441142,0.8956,0.896547550258202,0.8956,0.8947094898388535,127.28482865600381,15.393272858003911,142.67810794900288,False
4,0.001,0.3126012708653454,0.8847994825355757,0.883712092912629,0.8842174263679698,0.8839436580365749,0.26251550749929153,0.9029333333333334,0.9041272319388233,0.9029333333333334,0.9027483169739343,127.00527859800059,15.256065800000215,142.26135223700112,False
5,0.001,0.3031548593369678,0.8892453643811988,0.8882325850622278,0.8886324905170773,0.8884158110109898,0.2750106874332453,0.8990333333333334,0.9001397379085102,0.8990333333333334,0.8980078760798811,127.219395316999,15.445983243997034,142.66539149000164,False
6,0.0001,0.07144877710481819,0.9755325571366968,0.9753392186974862,0.9753893543134959,0.9753626787278664,0.03087013204382564,0.9893,0.9893640911522341,0.9893000000000001,0.9893111588312589,173.41955482300546,15.489601765999396,188.9091613529963,True
7,0.0001,0.030402762907539595,0.9898188874514877,0.9897541117041255,0.9897699723656757,0.9897617618173685,0.020946294725894835,0.9926666666666667,0.9926804108251869,0.9926666666666666,0.992665697286699,171.8680720880002,15.41668590700283,187.2847651359989,True
8,0.0001,0.02016331357267705,0.9932384648555412,0.9931995565620833,0.9932114875225654,0.9932052674107814,0.018919726590966253,0.9938,0.9938267811803122,0.9938,0.9938031616108658,171.64494342399848,15.478114151999762,187.12306508099573,True
9,0.0001,0.014620853826598225,0.9950970245795602,0.9950713933390347,0.9950792595886702,0.9950752241503524,0.016375106503044145,0.9947333333333334,0.9947389034790796,0.9947333333333332,0.9947319066471045,172.006147099004,15.463727484995616,187.46988269300346,True
10,0.0001,0.011163687638650891,0.99620957309185,0.9961931573883195,0.9961980927718012,0.9961955921612852,0.01727240478147924,0.994,0.9940044751971593,0.994,0.9940003076223869,172.60814341600053,15.672626676001528,188.28077822600608,False
11,0.0001,0.009022447655663075,0.9969900819318672,0.9969865407675635,0.996988604477799,0.9969874928073257,0.01900502781505551,0.9944333333333333,0.9944388381888813,0.9944333333333333,0.994434273681917,171.82497571400017,15.581896481999138,187.40687938799965,False
12,0.0001,0.006984627846282565,0.9975937904269081,0.9975884149869894,0.9975911886353058,0.9975897470274886,0.015632571070139354,0.9956333333333334,0.9956381987437457,0.9956333333333334,0.9956322192945061,171.94888307300425,15.525868749995425,187.4747636109969,True
13,0.0001,0.006385962094202658,0.9976886589047003,0.9976845146614058,0.997689732308175,0.9976870710250658,0.015897185529020464,0.9953666666666666,0.9953660916484693,0.9953666666666667,0.9953660868313289,171.4618664619993,15.486336538000614,186.94821027299622,False
14,0.0001,0.005164530904830109,0.9982104355325572,0.9982036113789899,0.9982055248146848,0.9982045502783438,0.01862762065394875,0.9952666666666666,0.9952809116469796,0.9952666666666667,0.9952678219932182,171.48868875399785,15.44141415500053,186.93010940500244,False
15,0.0001,0.004754815582976524,0.9983613626563174,0.9983565684260352,0.9983602088220709,0.9983583788205561,0.017650738947399283,0.9953,0.9953031751328109,0.9953,0.9953003630238777,171.3061293350038,15.406638250002288,186.7127746440019,False
16,0.0001,0.0042691014706944235,0.9984907287623976,0.9984837352739481,0.9984842488863193,0.9984839728811972,0.019091206528937855,0.9950333333333333,0.9950332319782433,0.9950333333333333,0.9950299505322739,171.7417447819971,15.449441414006287,187.19119315200078,False
17,1e-05,0.0021186761322423736,0.9993100474342389,0.9993079449164709,0.9993097647579188,0.9993088431195545,0.016460575691423934,0.9958666666666667,0.9958681474017814,0.9958666666666666,0.9958670424517603,172.54887774599774,15.602958372001012,188.15184353499353,False
18,1e-05,0.0010984492117589114,0.9996593359206555,0.9996590207231557,0.999658903708343,0.9996589589883877,0.016629532558266515,0.996,0.9960011041564745,0.9960000000000001,0.9959996928668182,171.65760924499773,15.53952082599426,187.19713658899855,False
19,1e-05,0.0009725973836268168,0.9997153945666235,0.9997144812241198,0.9997146693409148,0.9997145745404966,0.016191532303099842,0.9960666666666667,0.9960676111889516,0.9960666666666667,0.9960664001550988,171.87596029200358,15.667061840002134,187.54302999500214,False
