epoch,learning_rate,train_loss,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,train_seconds,val_seconds,epoch_seconds,is_best
1,0.001,0.636270466619856,0.7830185424752049,0.7800411993532862,0.782135598750614,0.7809273401349066,0.4733152434885502,0.8361,0.839932789205816,0.8361000000000001,0.8371339916405542,700.5804828629989,91.23404630400182,791.8145442490022,False
2,0.001,0.5208870562092401,0.8173954290642518,0.8154011629858802,0.8165692524504233,0.8159334952329027,0.4639676894078652,0.8353,0.8403599903755342,0.8352999999999999,0.8336490075286367,688.138937685002,88.38210607699875,776.5210674509981,False
3,0.001,0.5046747084340436,0.8219663648124191,0.8201063034823968,0.8211575676066396,0.8205830103524427,0.46151455160727106,0.8362,0.8415422443874829,0.8362,0.8351528800425051,688.7114591309983,88.27351716599878,776.9849838560003,False
4,0.001,0.4963128203865576,0.8244458818456231,0.8225942012919374,0.8236603383230519,0.8230754305288386,0.4431191771030426,0.8445,0.847368421849718,0.8445,0.8455580223921564,688.1075882250007,88.25685350200001,776.3644500709997,False
5,0.001,0.49400396020107096,0.8261103924105218,0.8243661585566769,0.8253280151398583,0.8248034745458401,0.4539172039732337,0.8407666666666667,0.8434729374223171,0.8407666666666668,0.8399789341322534,689.0005849599984,88.28298118599923,777.2835744999975,False
6,0.0001,0.05751618769695392,0.9821043553255714,0.9820200228412043,0.9820401578574997,0.982029748798477,0.02223972865102459,0.9929,0.9929331248764383,0.9929,0.992898297167541,981.5409145949998,88.37971200699758,1069.9206314599978,True
7,0.0001,0.017105079012828806,0.9947132384648555,0.994701491009123,0.9947106638539148,0.9947059720434754,0.01119723780636902,0.9965,0.9965057775459085,0.9964999999999999,0.9965008895276398,975.7345483360004,88.4273889670003,1064.161944708001,True
8,0.0001,0.009476576200554445,0.9969167744717551,0.9969187986639095,0.9969217295263549,0.9969202273946577,0.01160692687870903,0.9962,0.9962073599008612,0.9962,0.9961994263070464,975.5607788870002,88.34559595500104,1063.9063832760003,False
9,0.0001,0.005765702777789527,0.998119879258301,0.9981168398273489,0.9981182367771236,0.9981175266810632,0.011154274039297965,0.9963333333333333,0.9963358282729565,0.9963333333333333,0.996332913114246,975.4906480379977,88.36890717900314,1063.8595663550004,True
10,0.0001,0.004383818785966885,0.9985597240189737,0.9985604950896496,0.9985604288979761,0.9985604551173992,0.01337628110072326,0.9962333333333333,0.9962506708935084,0.9962333333333333,0.9962356172948702,975.5091098910016,88.37827462299902,1063.8873915510012,False
11,0.0001,0.003258437856252343,0.9988745148771022,0.9988737816595004,0.9988729256630593,0.9988733439087847,0.01451256065420672,0.9964,0.996411176288343,0.9964000000000001,0.9963990972826811,975.7397073819993,88.47290487499777,1064.2126201899991,False
12,0.0001,0.0024646596354837348,0.9991936179387667,0.9991935322329054,0.9991956637330167,0.9991945947964064,0.014735743005054685,0.9964666666666666,0.9964796078506561,0.9964666666666666,0.9964674012566019,975.8675798709992,88.38800192499912,1064.2555888200004,False
13,0.0001,0.002655469095091914,0.9991246226821906,0.9991266362100915,0.9991268371281027,0.9991267313825991,0.014295869472858188,0.9965,0.9965043667159528,0.9964999999999999,0.9965007147228062,976.4121432809989,88.42246013900149,1064.8346101280003,False
14,1e-05,0.00077018390809158,0.9997714532125916,0.9997715374832519,0.9997725948041305,0.9997720630536724,0.011238526283490875,0.9970666666666667,0.9970697656077135,0.9970666666666667,0.9970666478461091,976.1714763630007,88.43873325499953,1064.6102176339991,False
15,1e-05,0.00019818000488282237,0.999961190168176,0.9999607723076565,0.9999606849603373,0.9999607279967199,0.010302368496293682,0.9975,0.9975025315466997,0.9974999999999999,0.9974998376044782,976.3092543109997,88.42332081299537,1064.7325870010027,True
16,1e-05,5.861475237949365e-05,1.0,1.0,1.0,1.0,0.010800717651792958,0.9975,0.9975024078789648,0.9974999999999999,0.99749992172809,976.0873354020005,88.37315829200088,1064.4605014319968,False
17,1e-05,4.962698175622963e-05,0.999987063389392,0.9999870472690262,0.9999870616522522,0.9999870543707416,0.011321015208019227,0.9975666666666667,0.9975706745304074,0.9975666666666667,0.99756726584666,976.2205975369943,88.36071941599948,1064.5813240480056,False
18,1e-05,4.2574438400321704e-05,0.999991375592928,0.9999914846223279,0.9999914846223279,0.9999914846223279,0.011887356286490115,0.9975333333333334,0.9975390633158424,0.9975333333333334,0.9975334923311749,976.2386327950007,88.43115477000538,1064.6697945289998,False
19,1e-05,2.6593908312766057e-05,0.999995687796464,0.9999957024367184,0.9999954526851894,0.999995577463084,0.011972252073986165,0.9977,0.9977067948131164,0.9977,0.997700676349095,976.326136746,88.46759524499794,1064.793743629998,False
20,1.0000000000000002e-06,1.7638212231299547e-05,1.0,1.0,1.0,1.0,0.011365537615415285,0.9977666666666667,0.9977698622810053,0.9977666666666666,0.9977667102084045,976.2897348109982,88.46593351000047,1064.7556771089949,False
21,1.0000000000000002e-06,1.6125415164342983e-05,1.0,1.0,1.0,1.0,0.011652130264219393,0.9977,0.997703798985939,0.9977,0.9977004767498574,976.3031676820028,88.41088512800343,1064.714060557002,False
22,1.0000000000000002e-06,1.366105887174202e-05,1.0,1.0,1.0,1.0,0.011557440316904269,0.9975,0.9975028843189154,0.9974999999999999,0.99749967564983,976.3532423340002,88.44707627499884,1064.8003268199973,False
